Sample,Round,Depth,Date,Lake,Location,Parasite,Concentration,ConcentrationLog10Plus1
B11B4,11,4,10/27/21,Bishop,Basin,Ordospora,103.2,2.017867719
B11B5,11,5,10/27/21,Bishop,Basin,Ordospora,206.4,2.316808752
B11B6,11,6,10/27/21,Bishop,Basin,Ordospora,0,0
B11B7,11,7,10/27/21,Bishop,Basin,Ordospora,0,0
B11B8,11,8,10/27/21,Bishop,Basin,Ordospora,0,0
B11B9,11,9,10/27/21,Bishop,Basin,Ordospora,103.2,2.017867719
B11B10,11,10,10/27/21,Bishop,Basin,Ordospora,206.4,2.316808752
B11B11,11,11,10/27/21,Bishop,Basin,Ordospora,0,0
B11B12,11,12,10/27/21,Bishop,Basin,Ordospora,206.4,2.316808752
B11B13,11,13,10/27/21,Bishop,Basin,Ordospora,103.2,2.017867719
B11B14,11,14,10/27/21,Bishop,Basin,Ordospora,206.4,2.316808752
B11B15,11,15,10/27/21,Bishop,Basin,Ordospora,0,0
B11B16,11,16,10/27/21,Bishop,Basin,Ordospora,103.2,2.017867719
B12B0,12,0,11/10/21,Bishop,Basin,Ordospora,0,0
B12B1,12,1,11/10/21,Bishop,Basin,Ordospora,206.4,2.316808752
B12B2,12,2,11/10/21,Bishop,Basin,Ordospora,0,0
B12B3,12,3,11/10/21,Bishop,Basin,Ordospora,206.4,2.316808752
B12B4,12,4,11/10/21,Bishop,Basin,Ordospora,0,0
B12B5,12,5,11/10/21,Bishop,Basin,Ordospora,103.2,2.017867719
B12B6,12,6,11/10/21,Bishop,Basin,Ordospora,0,0
B12B7,12,7,11/10/21,Bishop,Basin,Ordospora,103.2,2.017867719
B12B8,12,8,11/10/21,Bishop,Basin,Ordospora,0,0
B12B9,12,9,11/10/21,Bishop,Basin,Ordospora,0,0
B12B10,12,10,11/10/21,Bishop,Basin,Ordospora,103.2,2.017867719
B12B11,12,11,11/10/21,Bishop,Basin,Ordospora,206.4,2.316808752
B12B12,12,12,11/10/21,Bishop,Basin,Ordospora,103.2,2.017867719
B12B13,12,13,11/10/21,Bishop,Basin,Ordospora,0,0
B12B14,12,14,11/10/21,Bishop,Basin,Ordospora,0,0
B12B15,12,15,11/10/21,Bishop,Basin,Ordospora,103.2,2.017867719
B12B16,12,16,11/10/21,Bishop,Basin,Ordospora,103.2,2.017867719
B1B1,1,1,6/9/21,Bishop,Basin,Metschnikowia,0,0
B1B2,1,2,6/9/21,Bishop,Basin,Metschnikowia,0,0
B1B3,1,3,6/9/21,Bishop,Basin,Metschnikowia,0,0
B1B4,1,4,6/9/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B1B5,1,5,6/9/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B1B6,1,6,6/9/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B1B7,1,7,6/9/21,Bishop,Basin,Metschnikowia,0,0
B1B8,1,8,6/9/21,Bishop,Basin,Metschnikowia,0,0
B1B9,1,9,6/9/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B1B10,1,10,6/9/21,Bishop,Basin,Metschnikowia,307.45,2.489184775
B1B11,1,11,6/9/21,Bishop,Basin,Metschnikowia,0,0
B1B12,1,12,6/9/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B1B13,1,13,6/9/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B1B14,1,14,6/9/21,Bishop,Basin,Metschnikowia,0,0
B1B15,1,15,6/9/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B2B1,2,1,6/23/21,Bishop,Basin,Metschnikowia,0,0
B2B2,2,2,6/23/21,Bishop,Basin,Metschnikowia,0,0
B2B3,2,3,6/23/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B2B4,2,4,6/23/21,Bishop,Basin,Metschnikowia,0,0
B2B5,2,5,6/23/21,Bishop,Basin,Metschnikowia,307.45,2.489184775
B2B6,2,6,6/23/21,Bishop,Basin,Metschnikowia,513.85,2.711680717
B2B7,2,7,6/23/21,Bishop,Basin,Metschnikowia,614.9,2.789510204
B2B8,2,8,6/23/21,Bishop,Basin,Metschnikowia,307.45,2.489184775
B2B9,2,9,6/23/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B2B10,2,10,6/23/21,Bishop,Basin,Metschnikowia,0,0
B2B11,2,11,6/23/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B2B12,2,12,6/23/21,Bishop,Basin,Metschnikowia,513.85,2.711680717
B2B13,2,13,6/23/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B2B14,2,14,6/23/21,Bishop,Basin,Metschnikowia,0,0
B2B15,2,15,6/23/21,Bishop,Basin,Metschnikowia,0,0
B2B16,2,16,6/23/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B3B1,3,1,7/7/21,Bishop,Basin,Metschnikowia,410.65,2.61452812
B3B2,3,2,7/7/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B3B3,3,3,7/7/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B3B4,3,4,7/7/21,Bishop,Basin,Metschnikowia,410.65,2.61452812
B3B5,3,5,7/7/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B3B6,3,6,7/7/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B3B7,3,7,7/7/21,Bishop,Basin,Metschnikowia,307.45,2.489184775
B3B8,3,8,7/7/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B3B9,3,9,7/7/21,Bishop,Basin,Metschnikowia,513.85,2.711680717
B3B10,3,10,7/7/21,Bishop,Basin,Metschnikowia,0,0
B3B11,3,11,7/7/21,Bishop,Basin,Metschnikowia,0,0
B3B12,3,12,7/7/21,Bishop,Basin,Metschnikowia,0,0
B3B13,3,13,7/7/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B3B14,3,14,7/7/21,Bishop,Basin,Metschnikowia,0,0
B3B15,3,15,7/7/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B4B1,4,1,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B2,4,2,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B3,4,3,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B4,4,4,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B5,4,5,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B6,4,6,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B7,4,7,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B8,4,8,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B9,4,9,7/21/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B4B10,4,10,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B11,4,11,7/21/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B4B12,4,12,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B13,4,13,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B14,4,14,7/21/21,Bishop,Basin,Metschnikowia,0,0
B4B15,4,15,7/21/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B4B16,4,16,7/21/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B5B1,5,1,8/4/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B5B2,5,2,8/4/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B5B3,5,3,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B4,5,4,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B5,5,5,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B6,5,6,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B7,5,7,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B8,5,8,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B9,5,9,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B10,5,10,8/4/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B5B11,5,11,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B12,5,12,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B13,5,13,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B14,5,14,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B15,5,15,8/4/21,Bishop,Basin,Metschnikowia,0,0
B5B16,5,16,8/4/21,Bishop,Basin,Metschnikowia,0,0
B6B1,6,1,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B2,6,2,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B3,6,3,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B4,6,4,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B5,6,5,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B6,6,6,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B7,6,7,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B8,6,8,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B9,6,9,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B10,6,10,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B11,6,11,8/18/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B6B12,6,12,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B13,6,13,8/18/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B6B14,6,14,8/18/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B6B15,6,15,8/18/21,Bishop,Basin,Metschnikowia,0,0
B6B16,6,16,8/18/21,Bishop,Basin,Metschnikowia,307.45,2.489184775
B7B1,7,1,9/1/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B7B2,7,2,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B3,7,3,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B4,7,4,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B5,7,5,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B6,7,6,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B7,7,7,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B8,7,8,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B9,7,9,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B10,7,10,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B11,7,11,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B12,7,12,9/1/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B7B13,7,13,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B14,7,14,9/1/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B7B15,7,15,9/1/21,Bishop,Basin,Metschnikowia,0,0
B7B16,7,16,9/1/21,Bishop,Basin,Metschnikowia,0,0
B8B0,8,0,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B1,8,1,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B2,8,2,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B3,8,3,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B4,8,4,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B5,8,5,9/15/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B8B6,8,6,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B7,8,7,9/15/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B8B8,8,8,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B9,8,9,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B10,8,10,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B11,8,11,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B12,8,12,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B13,8,13,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B14,8,14,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B15,8,15,9/15/21,Bishop,Basin,Metschnikowia,0,0
B8B16,8,16,9/15/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B9B0,9,0,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B1,9,1,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B2,9,2,9/29/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B9B3,9,3,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B4,9,4,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B5,9,5,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B6,9,6,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B7,9,7,9/29/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B9B8,9,8,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B9,9,9,9/29/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B9B10,9,10,9/29/21,Bishop,Basin,Metschnikowia,206.4,2.316808752
B9B11,9,11,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B12,9,12,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B13,9,13,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B14,9,14,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B15,9,15,9/29/21,Bishop,Basin,Metschnikowia,0,0
B9B16,9,16,9/29/21,Bishop,Basin,Metschnikowia,0,0
B10B0,10,0,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B1,10,1,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B2,10,2,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B3,10,3,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B4,10,4,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B5,10,5,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B6,10,6,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B7,10,7,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B8,10,8,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B9,10,9,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B10,10,10,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B11,10,11,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B12,10,12,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B13,10,13,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B14,10,14,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B15,10,15,10/13/21,Bishop,Basin,Metschnikowia,0,0
B10B16,10,16,10/13/21,Bishop,Basin,Metschnikowia,410.65,2.61452812
B11B0,11,0,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B1,11,1,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B2,11,2,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B3,11,3,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B4,11,4,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B5,11,5,10/27/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B11B6,11,6,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B7,11,7,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B8,11,8,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B9,11,9,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B10,11,10,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B11,11,11,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B12,11,12,10/27/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B11B13,11,13,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B14,11,14,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B15,11,15,10/27/21,Bishop,Basin,Metschnikowia,0,0
B11B16,11,16,10/27/21,Bishop,Basin,Metschnikowia,0,0
B12B0,12,0,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B1,12,1,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B2,12,2,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B3,12,3,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B4,12,4,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B5,12,5,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B6,12,6,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B7,12,7,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B8,12,8,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B9,12,9,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B10,12,10,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B11,12,11,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B12,12,12,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B13,12,13,11/10/21,Bishop,Basin,Metschnikowia,103.2,2.017867719
B12B14,12,14,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B15,12,15,11/10/21,Bishop,Basin,Metschnikowia,0,0
B12B16,12,16,11/10/21,Bishop,Basin,Metschnikowia,0,0
B1B1,1,1,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B2,1,2,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B3,1,3,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B4,1,4,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B5,1,5,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B6,1,6,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B7,1,7,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B8,1,8,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B9,1,9,6/9/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B1B10,1,10,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B11,1,11,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B12,1,12,6/9/21,Bishop,Basin,Pasteuria,204.25,2.312283166
B1B13,1,13,6/9/21,Bishop,Basin,Pasteuria,0,0
B1B14,1,14,6/9/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B1B15,1,15,6/9/21,Bishop,Basin,Pasteuria,0,0
B2B1,2,1,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B2,2,2,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B3,2,3,6/23/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B2B4,2,4,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B5,2,5,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B6,2,6,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B7,2,7,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B8,2,8,6/23/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B2B9,2,9,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B10,2,10,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B11,2,11,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B12,2,12,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B13,2,13,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B14,2,14,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B15,2,15,6/23/21,Bishop,Basin,Pasteuria,0,0
B2B16,2,16,6/23/21,Bishop,Basin,Pasteuria,0,0
B3B1,3,1,7/7/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B3B2,3,2,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B3,3,3,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B4,3,4,7/7/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B3B5,3,5,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B6,3,6,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B7,3,7,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B8,3,8,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B9,3,9,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B10,3,10,7/7/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B3B11,3,11,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B12,3,12,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B13,3,13,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B14,3,14,7/7/21,Bishop,Basin,Pasteuria,0,0
B3B15,3,15,7/7/21,Bishop,Basin,Pasteuria,0,0
B4B1,4,1,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B2,4,2,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B3,4,3,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B4,4,4,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B5,4,5,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B6,4,6,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B7,4,7,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B8,4,8,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B9,4,9,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B10,4,10,7/21/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B4B11,4,11,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B12,4,12,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B13,4,13,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B14,4,14,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B15,4,15,7/21/21,Bishop,Basin,Pasteuria,0,0
B4B16,4,16,7/21/21,Bishop,Basin,Pasteuria,0,0
B5B1,5,1,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B2,5,2,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B3,5,3,8/4/21,Bishop,Basin,Pasteuria,204.25,2.312283166
B5B4,5,4,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B5,5,5,8/4/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B5B6,5,6,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B7,5,7,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B8,5,8,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B9,5,9,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B10,5,10,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B11,5,11,8/4/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B5B12,5,12,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B13,5,13,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B14,5,14,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B15,5,15,8/4/21,Bishop,Basin,Pasteuria,0,0
B5B16,5,16,8/4/21,Bishop,Basin,Pasteuria,2247.421875,3.351877802
B6B1,6,1,8/18/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B6B2,6,2,8/18/21,Bishop,Basin,Pasteuria,718.1,2.856789289
B6B3,6,3,8/18/21,Bishop,Basin,Pasteuria,0,0
B6B4,6,4,8/18/21,Bishop,Basin,Pasteuria,309.6,2.492201451
B6B5,6,5,8/18/21,Bishop,Basin,Pasteuria,1128.75,3.05298235
B6B6,6,6,8/18/21,Bishop,Basin,Pasteuria,410.65,2.61452812
B6B7,6,7,8/18/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B6B8,6,8,8/18/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B6B9,6,9,8/18/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B6B10,6,10,8/18/21,Bishop,Basin,Pasteuria,0,0
B6B11,6,11,8/18/21,Bishop,Basin,Pasteuria,0,0
B6B12,6,12,8/18/21,Bishop,Basin,Pasteuria,0,0
B6B13,6,13,8/18/21,Bishop,Basin,Pasteuria,0,0
B6B14,6,14,8/18/21,Bishop,Basin,Pasteuria,0,0
B6B15,6,15,8/18/21,Bishop,Basin,Pasteuria,0,0
B6B16,6,16,8/18/21,Bishop,Basin,Pasteuria,0,0
B7B1,7,1,9/1/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B7B2,7,2,9/1/21,Bishop,Basin,Pasteuria,0,0
B7B3,7,3,9/1/21,Bishop,Basin,Pasteuria,617.05,2.791023611
B7B4,7,4,9/1/21,Bishop,Basin,Pasteuria,1438.35,3.158166412
B7B5,7,5,9/1/21,Bishop,Basin,Pasteuria,1027.7,3.01228874
B7B6,7,6,9/1/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B7B7,7,7,9/1/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B7B8,7,8,9/1/21,Bishop,Basin,Pasteuria,617.05,2.791023611
B7B9,7,9,9/1/21,Bishop,Basin,Pasteuria,513.85,2.711680717
B7B10,7,10,9/1/21,Bishop,Basin,Pasteuria,1128.75,3.05298235
B7B11,7,11,9/1/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B7B12,7,12,9/1/21,Bishop,Basin,Pasteuria,410.65,2.61452812
B7B13,7,13,9/1/21,Bishop,Basin,Pasteuria,204.25,2.312283166
B7B14,7,14,9/1/21,Bishop,Basin,Pasteuria,924.5,2.966376423
B7B15,7,15,9/1/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B7B16,7,16,9/1/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B8B0,8,0,9/15/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B8B1,8,1,9/15/21,Bishop,Basin,Pasteuria,412.8,2.616790486
B8B2,8,2,9/15/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B8B3,8,3,9/15/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B8B4,8,4,9/15/21,Bishop,Basin,Pasteuria,410.65,2.61452812
B8B5,8,5,9/15/21,Bishop,Basin,Pasteuria,3291.65,3.517545569
B8B6,8,6,9/15/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B8B7,8,7,9/15/21,Bishop,Basin,Pasteuria,0,0
B8B8,8,8,9/15/21,Bishop,Basin,Pasteuria,763.465,2.883357607
B8B9,8,9,9/15/21,Bishop,Basin,Pasteuria,513.85,2.711680717
B8B10,8,10,9/15/21,Bishop,Basin,Pasteuria,617.05,2.791023611
B8B11,8,11,9/15/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B8B12,8,12,9/15/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B8B13,8,13,9/15/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B8B14,8,14,9/15/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B8B15,8,15,9/15/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B8B16,8,16,9/15/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B9B0,9,0,9/29/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B9B1,9,1,9/29/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B9B2,9,2,9/29/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B9B3,9,3,9/29/21,Bishop,Basin,Pasteuria,0,0
B9B4,9,4,9/29/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B9B5,9,5,9/29/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B9B6,9,6,9/29/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B9B7,9,7,9/29/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B9B8,9,8,9/29/21,Bishop,Basin,Pasteuria,309.6,2.492201451
B9B9,9,9,9/29/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B9B10,9,10,9/29/21,Bishop,Basin,Pasteuria,206.4,2.316808752
B9B11,9,11,9/29/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B9B12,9,12,9/29/21,Bishop,Basin,Pasteuria,513.85,2.711680717
B9B13,9,13,9/29/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B9B14,9,14,9/29/21,Bishop,Basin,Pasteuria,307.45,2.489184775
B9B15,9,15,9/29/21,Bishop,Basin,Pasteuria,103.2,2.017867719
B9B16,9,16,9/29/21,Bishop,Basin,Pasteuria,0,0
